Faixa Etária,Faixa Hora Contrat,Faixa Tempo Emprego,Escolaridade após 2005,Ind Portador Defic,Raça Cor,Vl Remun Dezembro Nom,Sexo Trabalhador,Tamanho Estabelecimento,Diretor TI,Gerente Infraestrutura TI,Gerente Desenvolvimento Sistemas,Gerente Operação TI,Gerente Projetos TI,Gerente Segurança Informação,Gerente Suporte Técnico TI,Tecnólogo Gestão TI,Engenheiro Aplicativos Computação,Engenheiro Equip Computação,Engenheiro Sist Oper Computação,Administrador Banco Dados,Administrador Redes,Administrador Sist Operacionais,Administrador Segur Informação,Analista Desenvolv Sistemas,Analista Redes Comunic Dados,Analista Sistemas Automação,Analista Suporte Computacional
4,5,4,5,0,1,3683.49,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,4,5,0,1,4329.98,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,5,4,5,0,1,3061.86,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,5,1,5,0,1,2528.24,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,5,2,5,0,1,1300.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,6,5,0,1,1934.47,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5,2,5,0,1,1548.44,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,2,5,0,1,1455.11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,4,5,0,1,2142.17,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,5,5,0,1,1741.69,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,7,5,0,1,4064.57,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,0,5,0,0,1348.43,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,5,2,5,0,1,1675.56,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,4,5,0,1,2400.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,5,6,5,0,1,6869.14,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,5,3,5,0,1,1631.5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,5,6,5,0,1,1852.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,5,0,5,0,1,3189.53,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,5,6,5,0,1,1591.35,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,5,1,5,0,1,1594.44,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,5,7,5,0,1,2105.29,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,4,5,0,1,3454.78,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,4,0,5,0,1,3500.0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,5,0,1,600.0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,4,6,5,0,1,5871.0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,5,6,5,0,1,3274.59,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,6,5,0,1,3272.29,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,3,5,0,1,3036.92,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,5,1,5,0,1,4726.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,3,4,5,0,1,842.54,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,5,1,5,0,1,1414.35,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,5,4,5,0,1,1750.39,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,3,6,0,1,1483.9,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,5,5,6,0,1,4461.42,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,5,4,6,0,1,4329.4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,5,4,6,0,1,1750.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,5,4,6,0,1,1950.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,5,2,6,0,1,1339.68,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,5,6,6,0,0,4171.31,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,4,6,0,1,1294.34,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,0,6,0,1,3035.51,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,5,5,6,0,1,2409.24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,5,3,6,0,0,1283.32,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,5,7,6,0,1,2729.75,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,2,6,0,1,3061.14,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,6,6,0,1,2361.58,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,4,3,6,0,1,1712.12,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,5,4,6,0,1,2559.88,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,5,6,6,0,1,2850.27,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,1,6,0,1,2510.07,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,5,7,6,0,1,8043.56,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,5,7,6,0,1,7098.28,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,5,7,6,0,1,6708.58,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,7,6,0,0,5013.01,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5,2,6,0,1,998.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,6,6,0,1,3100.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,5,5,6,0,1,1805.93,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,5,1,6,0,1,1521.74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,4,6,0,1,1888.15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,3,2,6,0,1,839.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,5,6,6,0,1,3908.18,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,6,6,0,0,1471.22,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,3,5,6,0,1,618.57,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,3,6,0,1,1678.73,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,5,6,6,0,0,2804.54,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
